NRI_ID,State,County,HRCN 2024,RFLD 2024,Combined 2024
C51059,VA,Fairfax,96.94930462,76.26471524,86.60700993
C45015,SC,Berkeley,98.60924181,61.91536748,80.26230465
C09001,CT,Fairfield,97.03903096,77.18740057,87.11321576
C25017,MA,Middlesex,97.39793629,97.231944,97.31494015
C36059,NY,Nassau,97.17362046,98.34552975,97.7595751
C36119,NY,Westchester,95.8725886,68.91504932,82.39381896
C13179,GA,Liberty,96.90444145,53.57938276,75.2419121
C25021,MA,Norfolk,95.69313594,95.51384028,95.60348811
C36103,NY,Suffolk,98.02602064,97.48647789,97.75624926
C45035,SC,Dorchester,97.98115747,83.48711422,90.73413585
C34025,NJ,Monmouth,95.78286227,81.99172765,88.88729496
C25027,MA,Worcester,95.55854643,92.71396755,94.13625699
C42091,PA,Montgomery,93.04620906,97.00922685,95.02771796
C24031,MD,Montgomery,96.18663078,52.8157811,74.50120594
C42101,PA,Philadelphia,95.42395693,94.94113904,95.18254799
C34003,NJ,Bergen,95.64827277,95.16385619,95.40606448
C12031,FL,Duval,98.78869448,98.60006363,98.69437906
C45019,SC,Charleston,99.64109466,76.64651607,88.14380536
C09009,CT,New Haven,96.59039928,70.25135221,83.42087575
C25023,MA,Plymouth,94.03319874,94.68660515,94.35990195
C22005,LA,Ascension,96.76985195,99.42729876,98.09857536
C45013,SC,Beaufort,99.10273665,86.09608654,92.5994116
C34027,NJ,Morris,90.71332436,97.6773783,94.19535133
C22063,LA,Livingston,96.45580978,99.65001591,98.05291284
C42017,PA,Bucks,91.61058771,97.26376074,94.43717422
C34023,NJ,Middlesex,95.24450426,96.72287623,95.98369025
C34005,NJ,Burlington,91.65545087,96.94559338,94.30052213
C13051,GA,Chatham,99.46164199,70.155902,84.808772
C34035,NJ,Somerset,89.63660834,99.30003182,94.46832008
C44007,RI,Providence,93.44997757,90.93223035,92.19110396
C12113,FL,Santa Rosa,97.30820996,88.45052498,92.87936747
C42071,PA,Lancaster,93.18079856,88.10054088,90.64066972
C51550,VA,Chesapeake,94.84073576,86.35062043,90.59567809
C25009,MA,Essex,95.7379991,91.12313077,93.43056493
C34021,NJ,Mercer,91.79004038,96.85014318,94.32009178
C10003,DE,New Castle,91.43113504,93.15940185,92.29526844
C48249,TX,Jim Wells,91.83490354,92.01399936,91.92445145
C25025,MA,Suffolk,94.97532526,95.86382437,95.41957481
C42045,PA,Delaware,90.98250336,92.45943366,91.72096851
C24033,MD,Prince George's,96.14176761,43.11167674,69.62672218
C01003,AL,Baldwin,98.87842082,87.94145721,93.40993901
C34029,NJ,Ocean,95.37909376,98.09099586,96.73504481
C51710,VA,Norfolk,94.70614625,94.05027044,94.37820835
C34001,NJ,Atlantic,94.66128309,97.55011136,96.10569722
C36085,NY,Richmond,91.02736653,97.90009545,94.46373099
C12069,FL,Lake,96.50067295,56.76105632,76.63086463
C01069,AL,Houston,93.5397039,90.99586382,92.26778386
C15003,HI,Honolulu,88.42530283,95.22748966,91.82639624
C34007,NJ,Camden,91.0722297,96.15017499,93.61120235
C13127,GA,Glynn,95.06505159,59.75182946,77.40844053
C12091,FL,Okaloosa,98.69896815,65.60610881,82.15253848
C34011,NJ,Cumberland,90.35441902,90.23226217,90.2933406
C48071,TX,Chambers,92.91161956,93.79573656,93.35367806
C36061,NY,New York,96.68012562,94.62297168,95.65154865
C37133,NC,Onslow,99.01301032,81.16449252,90.08875142
C37183,NC,Wake,94.21265141,96.34107541,95.27686341
C12073,FL,Leon,96.23149394,89.85046134,93.04097764
C22033,LA,East Baton Rouge,97.62225213,99.90454979,98.76340096
C24005,MD,Baltimore,96.36608345,72.25580655,84.310945
C12101,FL,Pasco,99.59623149,79.4463888,89.52131015
C34039,NJ,Union,90.08524002,97.29557747,93.69040875
